Mes,Anio,Ahorro MN,Ahorro ME,Ahorro 0 MN,Ahorro 0 ME,CTS MN,Techo Propio MN
Enero2009,other,174488.92,44900.09,21560.85,5169.32,0,54648
Febrero2009,other,174768.21,10940.37,57.74,5211.35,0,29542
Marzo2009,other,219277.41,20696.75,66.84,0,0,24253
Abril2009,other,104389.58,13936.17,172.93,0,0,2300
Mayo2009,other,153485.77,23139.65,38.34,0,0,0
Junio2009,other,100923.75,7908.59,893.48,0,0,0
Julio2009,other,213348.93,12718.77,44.95,0,0,0
Agosto2009,other,172251.59,15891.52,190.05,0,0,350
Setiembre2009,other,107073.77,19270,53.16,0,0,0
Octubre2009,other,166472.47,29269.72,63.26,0,0,0
Noviembre2009,other,116459.17,37034.99,384.32,0,0,0
Diciembre2009,other,223355.57,9319.52,68.18,0,0,0
Enero2010,other,166422.57,61128,67.74,0,0,0
Febrero2010,other,116000.2,25785.49,190.61,0,0,0
Marzo2010,other,126119,37249.15,189.51,0,0,0
Abril2010,other,146410.05,28750.97,44.5,0,0,0
Mayo2010,other,165076.85,33765.32,74.92,0,0,0
Junio2010,other,191933.17,56891.51,52.09,0,0,0
Julio2010,other,172591.17,24236,2515,0,0,0
Agosto2010,other,203586.94,40566.19,436.76,0,0,0
Setiembre2010,other,175493.77,24494.43,362.54,0,0,0
Octubre2010,other,188833.49,15223.8,70.23,0,0,0
Noviembre2010,other,101830.71,35467.14,690.32,0,0,0
Diciembre2010,other,201652.13,3959.63,65.85,0,0,0
Enero2011,2011,316542.08,41028.32,0,0,0,0
Febrero2011,2011,121344,4088.27,0,0,0,0
Marzo2011,2011,198302.91,4731.15,620,0,0,0
Abril2011,2011,109388.61,17570.41,0,0,0,0
Mayo2011,2011,176632.55,3282.1,0,0,0,0
Junio2011,2011,143703.53,15111.16,0,0,0,0
Julio2011,2011,135217.45,6647,0,0,0,0
Agosto2011,2011,131418.78,883.05,0,0,0,0
Setiembre2011,2011,113677.92,6173.36,0,0,0,0
Octubre2011,2011,166380.09,1984.12,0,0,0,0
Noviembre2011,2011,166342.81,7617.58,0,0,0,0
Diciembre2011,2011,231832.32,2067.4,0,0,0,0
Enero2012,other,160437.66,24943.46,0,0,0,0
Febrero2012,other,127254.75,7760.45,0,0,0,0
Marzo2012,other,175088.69,14385,0,0,0,0
Abril2012,other,124748.06,6666.46,0,0,0,0
Mayo2012,other,162749.91,7644.91,1115.7,0,0,0
Junio2012,other,213726.56,7657,0,0,0,0
Julio2012,other,153444.31,4867.58,9954.76,0,0,0
Agosto2012,other,200827.45,14931.1,0,0,0,0
Setiembre2012,other,168481.44,4073,0,0,0,0
Octubre2012,other,161531.94,1817,700,0,0,0
Noviembre2012,other,120772.72,350,0,0,0,0
Diciembre2012,other,165595.86,45844.62,0,100,0,0
Enero2013,other,194374.82,5932.95,0,0,0,0
Febrero2013,other,113123.21,2029,1500,0,0,0
Marzo2013,other,120226.68,9090.32,0,0,0,0
Abril2013,other,198422.08,2589,0,0,0,0
Mayo2013,other,159794.34,707,0,0,0,0
Junio2013,other,162976.04,600,0,0,0,0
Julio2013,other,154946.77,9667.15,0,964.04,0,0
Agosto2013,other,151661.93,3584.71,0,0,0,0
Setiembre2013,other,221247.69,6800.36,0,0,0,0
Octubre2013,other,214747.19,16264.85,0,0,0,0
Noviembre2013,other,141753.05,6974.46,0,0,0,0
Diciembre2013,other,183386.19,10158,0,0,0,0
Enero2014,other,192246.68,19076,0,339,0,0
Febrero2014,other,146062.69,3036.33,0,0,0,0
Marzo2014,other,234418.37,5928.9,0,0,0,0
Abril2014,other,81530.66,50018.74,975.5,902,0,0
Mayo2014,other,128323.56,3643.09,0,0,0,0
Junio2014,other,164993.15,1051,0,0,0,0
Julio2014,other,237140.39,41198.92,0,0,0,0
Agosto2014,other,210617.82,661,0,0,0,0
Setiembre2014,other,223082.4,2911.79,0,0,0,0
Octubre2014,other,188392.1,12881,0,900,0,0
Noviembre2014,other,140981.98,9230.82,0,0,0,0
Diciembre2014,other,185453.25,4647,0,0,0,0
Enero2015,other,245493.55,25061.22,2000,0,0,0
Febrero2015,other,237474.12,4897.84,0,0,0,0
Marzo2015,other,830568.53,5124,0,0,0,0
Abril2015,other,747794.18,11655.19,0,0,0,0
Mayo2015,other,550827.95,1533,0,0,0,0
Junio2015,other,281552.27,3126.9,0,0,0,0
Julio2015,other,389871.81,6995.81,480,0,0,0
Agosto2015,other,294647.86,26971.14,0,0,0,0
Setiembre2015,other,450497.69,628.35,0,0,0,0
Octubre2015,other,388542.88,4323,0,800,0,0
Noviembre2015,other,353130.92,2370,0,0,6825,0
Diciembre2015,other,263164.38,2687,0,0,0,150
Enero2016,other,188945.17,16538.77,0,0,0,0
Febrero2016,other,139467.91,4136,0,0,0,0
Marzo2016,other,182144.02,1171.68,0,0,0,0
Abril2016,other,246367.33,1218,0,0,0,0
Mayo2016,other,640113.11,1474.61,0,0,5877.08,0
Junio2016,other,124989.87,8847.71,0,0,0,0
Julio2016,other,147268.09,5832.6,0,0,0,0
Agosto2016,other,231984.39,263.84,0,0,0,0
Setiembre2016,other,153376.28,2549.39,267.95,0,0,0
Octubre2016,other,143702.83,792.19,0,0,0,0
Noviembre2016,other,218115.64,11017,50,0,5894.58,0
Enero2017,other,149638.47,510,0,0,0,0
