distrito,suma
"ALTO SELVA ALEGRE",5445.110000000006
AREQUIPA,8964.72999999998
CAYLLOMA,0.61
CAYMA,7839.0199999999895
"CERRO COLORADO",8888.42
CHARACATO,57.66
CHIGUATA,1.04
CHIVAY,7.58
"JACOBO HUNTER",895.6500000000003
"JOSE LUIS BUSTAMANTE Y RIVERO",5301.6600000000035
"LA JOYA",52.33
MAJES,26.34
"MARIANO MELGAR",3245.699999999993
MIRAFLORES,2919.4300000000007
MOLLEBAYA,0.61
MOLLENDO,9.700000000000001
MOQUEGUA,3.68
PAUCARPATA,5380.740000000003
PUNO,0.61
SABANDIA,310.67
SACHACA,370.27000000000004
SOCABAYA,4497.76
TIABAYA,238.95
UCHUMAYO,374.39
YANAHUARA,2809.5800000000004
YARABAMBA,0.8800000000000001
YURA,103.94
