Mes,Anio,3 Meses MN,6 Meses MN,9 Meses MN,12 Meses MN,>12 Meses MN,3 Meses ME,6 Meses ME,9 Meses ME,12 Meses ME,>12 Meses ME
Enero2009,other,800,42388.56,0,11400,0,0,0,0,6500,0
Febrero2009,other,21000,23144.74,0,19000,0,0,6000,0,8000,0
Marzo2009,other,44000,97400,0,38500,0,0,10210,0,9056.66,0
Abril2009,other,800,52000,0,24000,0,0,0,0,0,0
Mayo2009,other,9145,40394.2,0,79440,0,0,36780,3000,3780,0
Junio2009,other,0,222000,0,0,0,0,0,0,0,0
Julio2009,other,0,49571.87,0,145991.24,0,0,0,0,0,0
Agosto2009,other,0,53493,0,79000,0,0,15520,0,0,0
Setiembre2009,other,0,18500,0,35500,0,0,3703,0,23000,0
Octubre2009,other,19438,129817.18,0,6500,0,0,0,0,0,0
Noviembre2009,other,3700,24000,0,137000,0,0,22851.66,0,0,0
Diciembre2009,other,23249,14370,0,5530,7500,2000,0,0,0,0
Enero2010,2010,4000,42137.68,0,322486.02,0,0,5983.2,0,6500,0
Febrero2010,2010,2326.2,61860,0,38900,0,0,6000,0,0,0
Marzo2010,2010,3714.27,25403.9,0,0,0,0,810,0,2000,0
Abril2010,2010,0,105336.7,0,48000,0,1012.98,1989.89,0,6107.89,0
Mayo2010,2010,0,228685.84,0,71000,0,0,10858.59,0,0,0
Junio2010,2010,0,49981.65,1031.9,9500,33600,0,3762.38,0,3030.32,0
Julio2010,2010,50739.16,78000,0,113957,75730.63,0,24300,0,0,0
Agosto2010,2010,12628.36,69288.51,0,1470,0,747.96,0,0,1369.64,0
Setiembre2010,2010,21747.96,77000.29,0,48037.5,0,3000,29100,0,20001,0
Octubre2010,2010,0,51790.95,0,56785.55,0,0,0,0,0,0
Noviembre2010,2010,0,6585.87,0,98693.53,0,0,7594.98,0,0,0
Diciembre2010,2010,205000,50200,0,87500,0,0,0,0,0,0
Enero2011,other,183000,175000,0,189928.27,0,8000,9214.07,0,0,0
Febrero2011,other,4344.1,43113.53,0,122083.08,11300,0,14750,0,7556.8,0
Marzo2011,other,4500,68000,0,3918,0,0,0,0,6245.05,0
Abril2011,other,3000,70475.49,7020.63,13000,0,1500,11715.06,0,0,0
Mayo2011,other,6197.41,3576,7000,112000,0,0,8525.05,0,230.68,0
Junio2011,other,617,84600,0,3700,0,0,0,0,0,0
Julio2011,other,4300,24106.81,0,73000,0,0,900,0,7000,0
Agosto2011,other,18055.06,18000,0,7000,0,3000,0,0,3155,0
Setiembre2011,other,35000,49216.38,400,52575.83,0,800,0,0,2260,0
Octubre2011,other,550,56629.61,0,42181.09,0,0,11651.99,0,2501.75,0
Noviembre2011,other,5143.43,58000,0,20000,0,0,5613.1,0,0,0
Diciembre2011,other,53800,79793.02,0,66214.5,65900,0,1536.5,0,0,0
Enero2012,other,30000,11883.09,0,99335.14,0,1800,913.41,0,0,0
Febrero2012,other,23000,19892.32,23000,268500,0,4654.88,0,0,0,0
Marzo2012,other,13000,37800.27,0,12000,0,0,0,0,0,0
Abril2012,other,2393.19,50161.55,0,3000,0,2100,11825.48,0,0,0
Mayo2012,other,20000,56895.99,30000,3256.16,0,0,0,0,0,0
Junio2012,other,0,53000,0,5000,0,5637,0,0,0,0
Julio2012,other,17400,25775.85,800,2200,0,3637,0,0,0,0
Agosto2012,other,25000,20500,7700,51000,139200,0,5631.12,0,0,0
Setiembre2012,other,18100.15,83887.04,0,4949.41,33700,0,1971.6,0,0,0
Octubre2012,other,39962.65,84769.88,0,0,167243.96,1000,0,0,3407.58,0
Noviembre2012,other,0,31142.98,0,0,0,0,0,0,880,0
Diciembre2012,other,5000,45000,30000,8828.9,19500,0,3837.08,0,0,0
Enero2013,other,4000,84663.74,10000,43500,0,0,0,2500,0,0
Febrero2013,other,2500,62569.03,0,24500,0,0,0,0,0,0
Marzo2013,other,23411,20300,0,11838.48,0,0,0,0,0,0
Abril2013,other,5900,80590.93,0,293888.14,0,0,0,0,5746.01,0
Mayo2013,other,38300,26500,0,3484.08,0,0,15297.57,0,16501.34,0
Junio2013,other,6120.74,44200,0,10500,0,0,0,0,0,0
Julio2013,other,32352.85,88019.78,0,15800,0,0,0,0,10000,0
Agosto2013,other,30000,101633.06,0,13000,166050,0,0,0,264.58,0
Setiembre2013,other,17680,52219.13,0,15772.29,288886.78,0,0,0,0,0
Octubre2013,other,0,158755.87,0,42542,0,0,0,0,7061.61,0
Noviembre2013,other,2900,34380.93,0,61500,0,3200,0,0,0,0
Diciembre2013,other,3000,76868.18,0,103200.29,0,0,0,15651.59,0,0
Enero2014,other,17000,13344.61,0,34500,0,9550,0,0,0,0
Febrero2014,other,2600,46821.55,3500,35414.75,71954,0,0,0,900,0
Marzo2014,other,4100,75097.16,0,6900,0,0,13800,0,0,0
Abril2014,other,0,32000,0,34000,0,0,0,0,0,0
Mayo2014,other,28569.18,43200,0,199898,0,0,0,0,0,0
Junio2014,other,0,104355.91,0,38100,0,0,0,0,0,0
Julio2014,other,2531.72,67000,0,3550,62510,0,0,0,0,0
Agosto2014,other,12200,55969.97,0,50000,0,0,0,0,0,0
Setiembre2014,other,22954.45,71738.59,0,71060,126000,0,0,0,0,0
Octubre2014,other,31735.09,37661.1,0,30200,215453.26,0,0,0,0,0
Noviembre2014,other,500,61000,0,102218.52,82582.2,0,0,0,0,0
Diciembre2014,other,2500,13450,0,27000,94442.93,0,0,0,3753.68,0
Enero2015,other,21319.83,137192.18,0,2500,150500,0,1420,0,0,0
Febrero2015,other,200,42652.89,0,45938.48,0,0,0,0,7075.7,0
Marzo2015,other,10340.5,88561.67,0,14450.12,108132.55,0,0,0,0,0
Abril2015,other,21562.26,40124.8,0,35200,0,0,0,0,0,0
Mayo2015,other,52000,0,0,53000,0,0,0,0,0,0
Junio2015,other,0,109428.53,0,8000,0,0,12000,0,67675,0
Julio2015,other,0,27300.65,0,79000,116899.73,0,0,0,0,0
Agosto2015,other,7500,32500,32545.44,8000,5970,0,0,2813.27,0,0
Setiembre2015,other,0,25900,11603.4,15801.64,330109.06,0,9570,0,0,0
Octubre2015,other,18989.44,169759.87,800,24233.46,0,3220,0,0,0,0
Noviembre2015,other,14541.87,42069.69,12697.18,19660.7,332628.18,0,0,0,0,0
Diciembre2015,other,46800,76050.04,30431.7,109912,0,0,0,0,0,0
Enero2016,other,57456.45,42000,0,0,204950,0,5926,0,3901.62,0
Febrero2016,other,46282.97,33717.6,32000,7000,212075.66,3232.23,9743,0,0,0
Marzo2016,other,75283.45,10507.72,51000,135253.14,186912.84,12228.45,0,0,0,0
Abril2016,other,0,110114.97,46697.8,3000,224250.2,0,0,2877.51,0,0
Mayo2016,other,57820.29,56280.35,0,123700,223969.4,0,0,0,63825.46,0
Junio2016,other,10000,35985.98,0,57535.67,0,3522.23,959.52,0,0,0
Julio2016,other,53000,106946.88,0,37650,295821.3,0,0,0,0,0
Agosto2016,other,17982.32,48137.1,6500,38762.13,0,0,0,0,6371.78,0
Setiembre2016,other,21214.83,52603.68,0,67540,0,0,0,0,0,0
Octubre2016,other,41000,66683.76,0,42370.68,164428.49,3232.23,0,0,0,0
Noviembre2016,other,12626.39,46392.36,10000,23600.97,0,0,0,0,0,0
Enero2017,other,21761.91,36844.01,41500,139013.36,0,0,0,0,3977.93,0
