Mes,Anio,NO REVOLVENTE MN,MICROEMPRESA MN,PEQUENIA EMPRESA MN,HIPOTECARIO MN,JUDICIAL MN,REFINANCIADO MN,CASTIGADO MN,NO REVOLVENTE ME,MICROEMPRESA ME,HIPOTECARIO ME,JUDICIAL ME,REFINANCIADO ME,CASTIGADO ME
Enero2009,other,161797.83,13875.97,0,9272.72,285.5,1816.95,0,4356.05,0,12081.43,0,0,0
Febrero2009,other,160391.33,24774.87,0,0,12011.01,1374.74,5397.91,4013.14,0,0,454.69,0,0
Marzo2009,other,162625.65,32220.56,0,0,6578.39,767.3,0,4697.46,0,13468.89,1167.4,0,0
Abril2009,other,100739.08,58729.84,0,0,8516.14,3932.6,5576.02,1243.08,0,21781.37,3925.55,0,0
Mayo2009,other,131153.08,16979.6,11361.86,0,0,0,5231.64,9034.73,0,8169.72,0,0,0
Junio2009,other,177905.47,5041.15,11237.49,12919.01,0,0,0,10212.19,0,5839.57,9721.01,0,0
Julio2009,other,223138.39,50534.97,99.87,0,2956.04,0,0,3890.14,0,0,0,0,0
Agosto2009,other,179468.7,31551.75,4842.16,6500.02,2207.63,0,0,0,3873.3,0,3851.69,4666.3,0
Setiembre2009,other,161640.87,38883.61,14630.09,0,1874.69,0,0,14931.81,2204.56,4431.96,0,0,0
Octubre2009,other,181265.8,24031.76,94516.08,8369.46,8507.43,0,0,5618.93,5820.01,10959.72,0,0,0
Noviembre2009,other,222173,19099.68,5200.17,0,15786.95,0,0,0,0,0,0,0,0
Diciembre2009,other,235684.04,40785.34,1464.65,20885.54,19611.03,0,0,1819.56,0,0,0,0,0
Enero2010,2010,312748.53,17582.55,0,0,10253.84,0,0,505.6,0,0,3362.31,0,0
Febrero2010,2010,251749.84,28652.34,0,0,17370.86,0,0,3614.04,0,0,3193.5,0,0
Marzo2010,2010,346914.9,55448.74,0,0,13768.56,0,0,11105.22,1965.56,0,0,0,0
Abril2010,2010,193614.52,34442.96,0,8765.12,1420.5,0,0,256,712,0,0,0,0
Mayo2010,2010,222758.86,25982.62,0,2692.72,36800.01,0,0,1654.16,0,0,0,0,0
Junio2010,2010,234809.93,32820.96,0,2185.27,13895.93,0,9947.1,65795.73,4903.6,8851.5,0,0,0
Julio2010,2010,129141.68,42701.29,10114.12,17690.9,7808.57,0,16521.44,8792.12,0,12795.01,0,0,0
Agosto2010,2010,177735.99,38702.05,3828.83,2754.5,11901.4,0,7841.1,0,0,0,0,0,0
Setiembre2010,2010,251126.15,58757.62,9398.02,0,12316.55,0,2382.31,2274.53,0,0,0,0,0
Octubre2010,2010,195580.57,21218.43,0,0,23145,2906.47,0,43883.67,92,0,0,0,3408
